num_layers,num_node1,num_node2,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,test_acc
2,23,3,1,0,0,0,0,0,0,0,0,0,0.482758611
2,6,6,1,0,0,0,0,0,0,0,0,0,0.551724136
1,20,0,1,0,0,0,0,0,0,0,0,0,0.517241359
1,7,0,1,0,0,0,0,0,0,0,0,0,0.517241359
1,7,0,1,0,0,0,0,0,0,0,0,0,0.517241359
2,3,14,1,0,0,0,0,0,0,0,0,0,0.551724136
1,8,0,1,0,0,0,0,0,0,0,0,0,0.482758611
2,15,3,1,0,0,0,0,0,0,0,0,0,0.448275864
1,9,0,1,0,0,0,0,0,0,0,0,0,0.448275864
2,20,11,1,0,0,0,0,0,0,0,0,0,0.448275864
1,1,0,1,0,0,0,0,0,0,0,0,0,0.586206913
2,6,7,1,0,0,0,0,0,0,0,0,0,0.482758611
1,11,0,1,0,0,0,0,0,0,0,0,0,0.517241359
2,23,12,1,0,0,0,0,0,0,0,0,0,0.551724136
2,9,10,1,0,0,0,0,0,0,0,0,0,0.448275864
1,21,0,1,0,0,0,0,0,0,0,0,0,0.517241359
2,14,12,1,0,0,0,0,0,0,0,0,0,0.551724136
1,2,0,1,0,0,0,0,0,0,0,0,0,0.586206913
1,7,0,1,0,0,0,0,0,0,0,0,0,0.517241359
1,3,0,1,0,0,0,0,0,0,0,0,0,0.551724136
1,18,0,1,0,0,0,0,0,0,0,0,0,0.517241359
1,18,0,1,0,0,0,0,0,0,0,0,0,0.448275864
1,12,0,1,0,0,0,0,0,0,0,0,0,0.551724136
1,12,0,1,0,0,0,0,0,0,0,0,0,0.551724136
1,6,0,1,0,0,0,0,0,0,0,0,0,0.551724136
1,8,0,1,0,0,0,0,0,0,0,0,0,0.517241359
1,13,0,1,0,0,0,0,0,0,0,0,0,0.517241359
2,15,7,1,0,0,0,0,0,0,0,0,0,0.482758611
2,13,4,1,0,0,0,0,0,0,0,0,0,0.448275864
2,11,10,1,0,0,0,0,0,0,0,0,0,0.482758611
2,21,19,1,0,0,0,0,0,0,0,0,0,0.482758611
2,15,22,1,0,0,0,0,0,0,0,0,0,0.551724136
2,7,4,1,0,0,0,0,0,0,0,0,0,0.517241359
1,11,0,1,0,0,0,0,0,0,0,0,0,0.448275864
2,21,17,1,0,0,0,0,0,0,0,0,0,0.517241359
1,20,0,1,0,0,0,0,0,0,0,0,0,0.517241359
2,1,15,1,0,0,0,0,0,0,0,0,0,0.517241359
2,14,11,1,0,0,0,0,0,0,0,0,0,0.448275864
2,9,10,1,0,0,0,0,0,0,0,0,0,0.517241359
2,11,15,1,0,0,0,0,0,0,0,0,0,0.482758611
2,23,6,1,0,0,0,0,0,0,0,0,0,0.448275864
2,23,7,1,0,0,0,0,0,0,0,0,0,0.448275864
2,6,19,1,0,0,0,0,0,0,0,0,0,0.482758611
2,20,14,1,0,0,0,0,0,0,0,0,0,0.448275864
2,23,8,1,0,0,0,0,0,0,0,0,0,0.448275864
2,8,13,1,0,0,0,0,0,0,0,0,0,0.448275864
2,4,14,1,0,0,0,0,0,0,0,0,0,0.482758611
1,9,0,1,0,0,0,0,0,0,0,0,0,0.517241359
1,3,0,1,0,0,0,0,0,0,0,0,0,0.517241359
2,14,8,1,0,0,0,0,0,0,0,0,0,0.482758611
2,2,10,0,1,0,0,0,0,0,0,0,0,0.640980124
2,14,12,0,1,0,0,0,0,0,0,0,0,0.701112688
2,2,12,0,1,0,0,0,0,0,0,0,0,0.634824812
2,2,21,0,1,0,0,0,0,0,0,0,0,0.639678001
1,2,0,0,1,0,0,0,0,0,0,0,0,0.603574812
2,9,5,0,1,0,0,0,0,0,0,0,0,0.678267062
1,5,0,0,1,0,0,0,0,0,0,0,0,0.673413813
2,14,18,0,1,0,0,0,0,0,0,0,0,0.708688438
1,6,0,0,1,0,0,0,0,0,0,0,0,0.670099437
2,9,19,0,1,0,0,0,0,0,0,0,0,0.702178001
2,13,3,0,1,0,0,0,0,0,0,0,0,0.654000938
2,20,4,0,1,0,0,0,0,0,0,0,0,0.689038813
2,23,17,0,1,0,0,0,0,0,0,0,0,0.720288813
2,5,5,0,1,0,0,0,0,0,0,0,0,0.670809686
2,9,14,0,1,0,0,0,0,0,0,0,0,0.690222561
2,22,13,0,1,0,0,0,0,0,0,0,0,0.707741499
2,11,2,0,1,0,0,0,0,0,0,0,0,0.63671875
2,18,15,0,1,0,0,0,0,0,0,0,0,0.705729187
2,21,12,0,1,0,0,0,0,0,0,0,0,0.708096564
1,16,0,0,1,0,0,0,0,0,0,0,0,0.680042624
2,23,10,0,1,0,0,0,0,0,0,0,0,0.702533126
2,13,8,0,1,0,0,0,0,0,0,0,0,0.697916687
2,13,9,0,1,0,0,0,0,0,0,0,0,0.707149625
1,1,0,0,1,0,0,0,0,0,0,0,0,0.516216874
1,2,0,0,1,0,0,0,0,0,0,0,0,0.614701688
1,22,0,0,1,0,0,0,0,0,0,0,0,0.688091874
2,7,17,0,1,0,0,0,0,0,0,0,0,0.681936562
2,10,13,0,1,0,0,0,0,0,0,0,0,0.688683689
1,19,0,0,1,0,0,0,0,0,0,0,0,0.677675188
1,13,0,0,1,0,0,0,0,0,0,0,0,0.671993375
1,1,0,0,1,0,0,0,0,0,0,0,0,0.508522749
2,1,20,0,1,0,0,0,0,0,0,0,0,0.524976313
1,12,0,0,1,0,0,0,0,0,0,0,0,0.678622186
2,10,16,0,1,0,0,0,0,0,0,0,0,0.706084251
1,5,0,0,1,0,0,0,0,0,0,0,0,0.671756625
1,8,0,0,1,0,0,0,0,0,0,0,0,0.674715936
2,16,15,0,1,0,0,0,0,0,0,0,0,0.698508501
2,21,16,0,1,0,0,0,0,0,0,0,0,0.713660061
1,18,0,0,1,0,0,0,0,0,0,0,0,0.681699812
2,5,11,0,1,0,0,0,0,0,0,0,0,0.687618375
2,15,8,0,1,0,0,0,0,0,0,0,0,0.696496189
1,1,0,0,1,0,0,0,0,0,0,0,0,0.509943187
2,4,19,0,1,0,0,0,0,0,0,0,0,0.688802063
2,2,23,0,1,0,0,0,0,0,0,0,0,0.63257575
2,8,15,0,1,0,0,0,0,0,0,0,0,0.678740501
1,17,0,0,1,0,0,0,0,0,0,0,0,0.681699812
1,16,0,0,1,0,0,0,0,0,0,0,0,0.684540749
2,19,14,0,1,0,0,0,0,0,0,0,0,0.714962125
2,2,20,0,1,0,0,0,0,0,0,0,0,0.641690314
1,10,0,0,1,0,0,0,0,0,0,0,0,0.667258501
2,18,7,0,0,1,0,0,0,0,0,0,0,0.970650852
2,21,5,0,0,1,0,0,0,0,0,0,0,0.969719172
2,4,13,0,0,1,0,0,0,0,0,0,0,0.962465048
2,21,23,0,0,1,0,0,0,0,0,0,0,0.969519496
2,22,14,0,0,1,0,0,0,0,0,0,0,0.970318139
2,1,18,0,0,1,0,0,0,0,0,0,0,0.906828165
1,18,0,0,0,1,0,0,0,0,0,0,0,0.967123628
1,21,0,0,0,1,0,0,0,0,0,0,0,0.966857433
2,13,3,0,0,1,0,0,0,0,0,0,0,0.962797821
2,9,13,0,0,1,0,0,0,0,0,0,0,0.968587756
1,4,0,0,0,1,0,0,0,0,0,0,0,0.922201514
2,7,15,0,0,1,0,0,0,0,0,0,0,0.969452977
1,23,0,0,0,1,0,0,0,0,0,0,0,0.966790915
2,8,14,0,0,1,0,0,0,0,0,0,0,0.967389882
1,16,0,0,0,1,0,0,0,0,0,0,0,0.965393305
2,19,18,0,0,1,0,0,0,0,0,0,0,0.969519496
2,2,9,0,0,1,0,0,0,0,0,0,0,0.952415824
1,8,0,0,0,1,0,0,0,0,0,0,0,0.962398529
2,21,6,0,0,1,0,0,0,0,0,0,0,0.968987107
2,9,11,0,0,1,0,0,0,0,0,0,0,0.969719172
1,7,0,0,0,1,0,0,0,0,0,0,0,0.962198853
1,19,0,0,0,1,0,0,0,0,0,0,0,0.965526402
2,23,7,0,0,1,0,0,0,0,0,0,0,0.969053626
1,8,0,0,0,1,0,0,0,0,0,0,0,0.964395046
2,16,13,0,0,1,0,0,0,0,0,0,0,0.968121946
1,8,0,0,0,1,0,0,0,0,0,0,0,0.959869564
1,15,0,0,0,1,0,0,0,0,0,0,0,0.966724336
2,4,15,0,0,1,0,0,0,0,0,0,0,0.967656076
2,10,12,0,0,1,0,0,0,0,0,0,0,0.968987107
1,23,0,0,0,1,0,0,0,0,0,0,0,0.965792596
1,18,0,0,0,1,0,0,0,0,0,0,0,0.965859175
1,21,0,0,0,1,0,0,0,0,0,0,0,0.96605885
1,16,0,0,0,1,0,0,0,0,0,0,0,0.962465048
2,13,12,0,0,1,0,0,0,0,0,0,0,0.969719172
2,6,5,0,0,1,0,0,0,0,0,0,0,0.962797821
1,20,0,0,0,1,0,0,0,0,0,0,0,0.967323303
1,14,0,0,0,1,0,0,0,0,0,0,0,0.962465048
1,20,0,0,0,1,0,0,0,0,0,0,0,0.964994013
2,22,7,0,0,1,0,0,0,0,0,0,0,0.96838814
2,15,4,0,0,1,0,0,0,0,0,0,0,0.965925753
1,12,0,0,0,1,0,0,0,0,0,0,0,0.936909378
2,3,23,0,0,1,0,0,0,0,0,0,0,0.964994013
2,6,22,0,0,1,0,0,0,0,0,0,0,0.96885401
2,16,21,0,0,1,0,0,0,0,0,0,0,0.969053626
1,7,0,0,0,1,0,0,0,0,0,0,0,0.961666465
2,21,20,0,0,1,0,0,0,0,0,0,0,0.970384657
2,1,17,0,0,1,0,0,0,0,0,0,0,0.907094359
1,3,0,0,0,1,0,0,0,0,0,0,0,0.91774255
2,23,2,0,0,1,0,0,0,0,0,0,0,0.95773989
1,23,0,0,0,1,0,0,0,0,0,0,0,0.965859175
1,10,0,0,0,0,1,0,0,0,0,0,0,0.99272728
2,11,20,0,0,0,1,0,0,0,0,0,0,0.99636364
1,20,0,0,0,0,1,0,0,0,0,0,0,1
1,2,0,0,0,0,1,0,0,0,0,0,0,0.985454559
1,23,0,0,0,0,1,0,0,0,0,0,0,1
1,22,0,0,0,0,1,0,0,0,0,0,0,1
1,20,0,0,0,0,1,0,0,0,0,0,0,0.99272728
2,16,9,0,0,0,1,0,0,0,0,0,0,1
1,23,0,0,0,0,1,0,0,0,0,0,0,1
2,7,22,0,0,0,1,0,0,0,0,0,0,1
2,18,9,0,0,0,1,0,0,0,0,0,0,1
1,19,0,0,0,0,1,0,0,0,0,0,0,1
1,2,0,0,0,0,1,0,0,0,0,0,0,0.974545479
2,19,19,0,0,0,1,0,0,0,0,0,0,1
2,2,12,0,0,0,1,0,0,0,0,0,0,0.985454559
1,2,0,0,0,0,1,0,0,0,0,0,0,0.989090919
1,20,0,0,0,0,1,0,0,0,0,0,0,1
2,5,3,0,0,0,1,0,0,0,0,0,0,0.99272728
1,6,0,0,0,0,1,0,0,0,0,0,0,0.99272728
2,10,12,0,0,0,1,0,0,0,0,0,0,1
2,19,20,0,0,0,1,0,0,0,0,0,0,1
1,10,0,0,0,0,1,0,0,0,0,0,0,0.99272728
1,7,0,0,0,0,1,0,0,0,0,0,0,0.989090919
1,18,0,0,0,0,1,0,0,0,0,0,0,0.99272728
2,8,3,0,0,0,1,0,0,0,0,0,0,1
1,6,0,0,0,0,1,0,0,0,0,0,0,0.989090919
1,14,0,0,0,0,1,0,0,0,0,0,0,1
2,18,8,0,0,0,1,0,0,0,0,0,0,1
2,14,5,0,0,0,1,0,0,0,0,0,0,1
2,14,23,0,0,0,1,0,0,0,0,0,0,1
2,5,8,0,0,0,1,0,0,0,0,0,0,1
1,10,0,0,0,0,1,0,0,0,0,0,0,0.99272728
1,19,0,0,0,0,1,0,0,0,0,0,0,0.99272728
1,15,0,0,0,0,1,0,0,0,0,0,0,1
2,6,2,0,0,0,1,0,0,0,0,0,0,1
1,23,0,0,0,0,1,0,0,0,0,0,0,0.99272728
2,22,9,0,0,0,1,0,0,0,0,0,0,1
1,11,0,0,0,0,1,0,0,0,0,0,0,0.99272728
2,1,11,0,0,0,1,0,0,0,0,0,0,0.989090919
2,8,7,0,0,0,1,0,0,0,0,0,0,0.989090919
2,1,5,0,0,0,1,0,0,0,0,0,0,0.989090919
1,1,0,0,0,0,1,0,0,0,0,0,0,0.949090898
1,21,0,0,0,0,1,0,0,0,0,0,0,0.99272728
1,13,0,0,0,0,1,0,0,0,0,0,0,0.99272728
2,20,2,0,0,0,1,0,0,0,0,0,0,1
1,23,0,0,0,0,1,0,0,0,0,0,0,1
2,8,4,0,0,0,1,0,0,0,0,0,0,1
1,13,0,0,0,0,1,0,0,0,0,0,0,0.989090919
1,18,0,0,0,0,1,0,0,0,0,0,0,0.99272728
1,1,0,0,0,0,1,0,0,0,0,0,0,0.989090919
1,19,0,0,0,0,0,1,0,0,0,0,0,0.641311526
2,15,3,0,0,0,0,1,0,0,0,0,0,0.61986202
1,6,0,0,0,0,0,1,0,0,0,0,0,0.54266274
1,14,0,0,0,0,0,1,0,0,0,0,0,0.600113392
2,4,21,0,0,0,0,1,0,0,0,0,0,0.6758008
1,18,0,0,0,0,0,1,0,0,0,0,0,0.687328756
2,13,2,0,0,0,0,1,0,0,0,0,0,0.577530026
1,11,0,0,0,0,0,1,0,0,0,0,0,0.608995557
2,15,16,0,0,0,0,1,0,0,0,0,0,0.708305776
1,23,0,0,0,0,0,1,0,0,0,0,0,0.679485977
1,1,0,0,0,0,0,1,0,0,0,0,0,0.444391936
2,6,22,0,0,0,0,1,0,0,0,0,0,0.706982911
2,22,8,0,0,0,0,1,0,0,0,0,0,0.681942761
2,16,22,0,0,0,0,1,0,0,0,0,0,0.743267477
1,2,0,0,0,0,0,1,0,0,0,0,0,0.468959659
2,4,1,0,0,0,0,1,0,0,0,0,0,0.52433145
1,16,0,0,0,0,0,1,0,0,0,0,0,0.633752227
2,21,5,0,0,0,0,1,0,0,0,0,0,0.630256057
2,17,17,0,0,0,0,1,0,0,0,0,0,0.723235369
2,14,18,0,0,0,0,1,0,0,0,0,0,0.720589638
2,16,22,0,0,0,0,1,0,0,0,0,0,0.684588492
1,3,0,0,0,0,0,1,0,0,0,0,0,0.472644806
2,6,22,0,0,0,0,1,0,0,0,0,0,0.688651621
1,16,0,0,0,0,0,1,0,0,0,0,0,0.618444681
2,8,1,0,0,0,0,1,0,0,0,0,0,0.544552565
1,8,0,0,0,0,0,1,0,0,0,0,0,0.562411427
1,21,0,0,0,0,0,1,0,0,0,0,0,0.683454573
1,15,0,0,0,0,0,1,0,0,0,0,0,0.603420556
2,8,20,0,0,0,0,1,0,0,0,0,0,0.702730775
2,4,9,0,0,0,0,1,0,0,0,0,0,0.58490032
1,20,0,0,0,0,0,1,0,0,0,0,0,0.610223949
1,6,0,0,0,0,0,1,0,0,0,0,0,0.55230087
1,1,0,0,0,0,0,1,0,0,0,0,0,0.439005941
1,8,0,0,0,0,0,1,0,0,0,0,0,0.599357486
2,22,7,0,0,0,0,1,0,0,0,0,0,0.708589256
2,3,20,0,0,0,0,1,0,0,0,0,0,0.58490032
1,1,0,0,0,0,0,1,0,0,0,0,0,0.442691118
1,12,0,0,0,0,0,1,0,0,0,0,0,0.620806932
2,22,17,0,0,0,0,1,0,0,0,0,0,0.731172621
2,11,13,0,0,0,0,1,0,0,0,0,0,0.709156215
1,8,0,0,0,0,0,1,0,0,0,0,0,0.558537304
2,23,14,0,0,0,0,1,0,0,0,0,0,0.718794286
1,8,0,0,0,0,0,1,0,0,0,0,0,0.542473793
1,7,0,0,0,0,0,1,0,0,0,0,0,0.544080138
2,14,2,0,0,0,0,1,0,0,0,0,0,0.574884236
1,7,0,0,0,0,0,1,0,0,0,0,0,0.515921772
2,20,11,0,0,0,0,1,0,0,0,0,0,0.706226945
1,1,0,0,0,0,0,1,0,0,0,0,0,0.443163574
