emb_x,emb_y,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
-20,-20,0,1,0,0,0,0,0,0,0,0
-20,-17.89473684,0,1,0,0,0,0,0,0,0,0
-20,-15.78947368,0,1,0,0,0,0,0,0,0,0
-20,-13.68421053,0,1,0,0,0,0,0,0,0,0
-20,-11.57894737,0,1,0,0,0,0,0,0,0,0
-20,-9.473684211,0,1,0,0,0,0,0,0,0,0
-20,-7.368421053,0,1,0,0,0,0,0,0,0,0
-20,-5.263157895,0,1,0,0,0,0,0,0,0,0
-20,-3.157894737,0,1,0,0,0,0,0,0,0,0
-20,-1.052631579,0,1,0,0,0,0,0,0,0,0
-20,1.052631579,0,1,0,0,0,0,0,0,0,0
-20,3.157894737,0,1,0,0,0,0,0,0,0,0
-20,5.263157895,0,1,0,0,0,0,0,0,0,0
-20,7.368421053,0,1,0,0,0,0,0,0,0,0
-20,9.473684211,0,1,0,0,0,0,0,0,0,0
-20,11.57894737,0,1,0,0,0,0,0,0,0,0
-20,13.68421053,0,1,0,0,0,0,0,0,0,0
-20,15.78947368,0,1,0,0,0,0,0,0,0,0
-20,17.89473684,0,1,0,0,0,0,0,0,0,0
-20,20,0,1,0,0,0,0,0,0,0,0
-17.89473684,-20,0,1,0,0,0,0,0,0,0,0
-17.89473684,-17.89473684,0,1,0,0,0,0,0,0,0,0
-17.89473684,-15.78947368,0,1,0,0,0,0,0,0,0,0
-17.89473684,-13.68421053,0,1,0,0,0,0,0,0,0,0
-17.89473684,-11.57894737,0,1,0,0,0,0,0,0,0,0
-17.89473684,-9.473684211,0,1,0,0,0,0,0,0,0,0
-17.89473684,-7.368421053,0,1,0,0,0,0,0,0,0,0
-17.89473684,-5.263157895,0,1,0,0,0,0,0,0,0,0
-17.89473684,-3.157894737,0,1,0,0,0,0,0,0,0,0
-17.89473684,-1.052631579,0,1,0,0,0,0,0,0,0,0
-17.89473684,1.052631579,0,1,0,0,0,0,0,0,0,0
-17.89473684,3.157894737,0,1,0,0,0,0,0,0,0,0
-17.89473684,5.263157895,0,1,0,0,0,0,0,0,0,0
-17.89473684,7.368421053,0,1,0,0,0,0,0,0,0,0
-17.89473684,9.473684211,0,1,0,0,0,0,0,0,0,0
-17.89473684,11.57894737,0,1,0,0,0,0,0,0,0,0
-17.89473684,13.68421053,0,1,0,0,0,0,0,0,0,0
-17.89473684,15.78947368,0,1,0,0,0,0,0,0,0,0
-17.89473684,17.89473684,0,1,0,0,0,0,0,0,0,0
-17.89473684,20,0,1,0,0,0,0,0,0,0,0
-15.78947368,-20,0,1,0,0,0,0,0,0,0,0
-15.78947368,-17.89473684,0,1,0,0,0,0,0,0,0,0
-15.78947368,-15.78947368,0,1,0,0,0,0,0,0,0,0
-15.78947368,-13.68421053,0,1,0,0,0,0,0,0,0,0
-15.78947368,-11.57894737,0,1,0,0,0,0,0,0,0,0
-15.78947368,-9.473684211,0,1,0,0,0,0,0,0,0,0
-15.78947368,-7.368421053,0,1,0,0,0,0,0,0,0,0
-15.78947368,-5.263157895,0,1,0,0,0,0,0,0,0,0
-15.78947368,-3.157894737,0,1,0,0,0,0,0,0,0,0
-15.78947368,-1.052631579,0,1,0,0,0,0,0,0,0,0
-15.78947368,1.052631579,0,1,0,0,0,0,0,0,0,0
-15.78947368,3.157894737,0,1,0,0,0,0,0,0,0,0
-15.78947368,5.263157895,0,1,0,0,0,0,0,0,0,0
-15.78947368,7.368421053,0,1,0,0,0,0,0,0,0,0
-15.78947368,9.473684211,0,1,0,0,0,0,0,0,0,0
-15.78947368,11.57894737,0,1,0,0,0,0,0,0,0,0
-15.78947368,13.68421053,0,1,0,0,0,0,0,0,0,0
-15.78947368,15.78947368,0,1,0,0,0,0,0,0,0,0
-15.78947368,17.89473684,0,1,0,0,0,0,0,0,0,0
-15.78947368,20,0,1,0,0,0,0,0,0,0,0
-13.68421053,-20,0,1,0,0,0,0,0,0,0,0
-13.68421053,-17.89473684,0,1,0,0,0,0,0,0,0,0
-13.68421053,-15.78947368,0,1,0,0,0,0,0,0,0,0
-13.68421053,-13.68421053,0,1,0,0,0,0,0,0,0,0
-13.68421053,-11.57894737,0,1,0,0,0,0,0,0,0,0
-13.68421053,-9.473684211,0,1,0,0,0,0,0,0,0,0
-13.68421053,-7.368421053,0,1,0,0,0,0,0,0,0,0
-13.68421053,-5.263157895,0,1,0,0,0,0,0,0,0,0
-13.68421053,-3.157894737,0,1,0,0,0,0,0,0,0,0
-13.68421053,-1.052631579,0,1,0,0,0,0,0,0,0,0
-13.68421053,1.052631579,0,1,0,0,0,0,0,0,0,0
-13.68421053,3.157894737,0,1,0,0,0,0,0,0,0,0
-13.68421053,5.263157895,0,1,0,0,0,0,0,0,0,0
-13.68421053,7.368421053,0,1,0,0,0,0,0,0,0,0
-13.68421053,9.473684211,0,1,0,0,0,0,0,0,0,0
-13.68421053,11.57894737,0,1,0,0,0,0,0,0,0,0
-13.68421053,13.68421053,0,1,0,0,0,0,0,0,0,0
-13.68421053,15.78947368,0,1,0,0,0,0,0,0,0,0
-13.68421053,17.89473684,0,1,0,0,0,0,0,0,0,0
-13.68421053,20,0,1,0,0,0,0,0,0,0,0
-11.57894737,-20,0,1,0,0,0,0,0,0,0,0
-11.57894737,-17.89473684,0,1,0,0,0,0,0,0,0,0
-11.57894737,-15.78947368,0,1,0,0,0,0,0,0,0,0
-11.57894737,-13.68421053,0,1,0,0,0,0,0,0,0,0
-11.57894737,-11.57894737,0,1,0,0,0,0,0,0,0,0
-11.57894737,-9.473684211,0,1,0,0,0,0,0,0,0,0
-11.57894737,-7.368421053,0,1,0,0,0,0,0,0,0,0
-11.57894737,-5.263157895,0,1,0,0,0,0,0,0,0,0
-11.57894737,-3.157894737,0,1,0,0,0,0,0,0,0,0
-11.57894737,-1.052631579,0,1,0,0,0,0,0,0,0,0
-11.57894737,1.052631579,0,1,0,0,0,0,0,0,0,0
-11.57894737,3.157894737,0,1,0,0,0,0,0,0,0,0
-11.57894737,5.263157895,0,1,0,0,0,0,0,0,0,0
-11.57894737,7.368421053,0,1,0,0,0,0,0,0,0,0
-11.57894737,9.473684211,0,1,0,0,0,0,0,0,0,0
-11.57894737,11.57894737,0,1,0,0,0,0,0,0,0,0
-11.57894737,13.68421053,0,1,0,0,0,0,0,0,0,0
-11.57894737,15.78947368,0,1,0,0,0,0,0,0,0,0
-11.57894737,17.89473684,0,1,0,0,0,0,0,0,0,0
-11.57894737,20,0,1,0,0,0,0,0,0,0,0
-9.473684211,-20,0,1,0,0,0,0,0,0,0,0
-9.473684211,-17.89473684,0,1,0,0,0,0,0,0,0,0
-9.473684211,-15.78947368,0,1,0,0,0,0,0,0,0,0
-9.473684211,-13.68421053,0,1,0,0,0,0,0,0,0,0
-9.473684211,-11.57894737,0,1,0,0,0,0,0,0,0,0
-9.473684211,-9.473684211,0,1,0,0,0,0,0,0,0,0
-9.473684211,-7.368421053,0,1,0,0,0,0,0,0,0,0
-9.473684211,-5.263157895,0,1,0,0,0,0,0,0,0,0
-9.473684211,-3.157894737,0,1,0,0,0,0,0,0,0,0
-9.473684211,-1.052631579,0,1,0,0,0,0,0,0,0,0
-9.473684211,1.052631579,0,1,0,0,0,0,0,0,0,0
-9.473684211,3.157894737,0,1,0,0,0,0,0,0,0,0
-9.473684211,5.263157895,0,1,0,0,0,0,0,0,0,0
-9.473684211,7.368421053,0,1,0,0,0,0,0,0,0,0
-9.473684211,9.473684211,0,1,0,0,0,0,0,0,0,0
-9.473684211,11.57894737,0,1,0,0,0,0,0,0,0,0
-9.473684211,13.68421053,0,1,0,0,0,0,0,0,0,0
-9.473684211,15.78947368,0,1,0,0,0,0,0,0,0,0
-9.473684211,17.89473684,0,1,0,0,0,0,0,0,0,0
-9.473684211,20,0,1,0,0,0,0,0,0,0,0
-7.368421053,-20,0,1,0,0,0,0,0,0,0,0
-7.368421053,-17.89473684,0,1,0,0,0,0,0,0,0,0
-7.368421053,-15.78947368,0,1,0,0,0,0,0,0,0,0
-7.368421053,-13.68421053,0,1,0,0,0,0,0,0,0,0
-7.368421053,-11.57894737,0,1,0,0,0,0,0,0,0,0
-7.368421053,-9.473684211,0,1,0,0,0,0,0,0,0,0
-7.368421053,-7.368421053,0,1,0,0,0,0,0,0,0,0
-7.368421053,-5.263157895,0,1,0,0,0,0,0,0,0,0
-7.368421053,-3.157894737,0,1,0,0,0,0,0,0,0,0
-7.368421053,-1.052631579,0,1,0,0,0,0,0,0,0,0
-7.368421053,1.052631579,0,1,0,0,0,0,0,0,0,0
-7.368421053,3.157894737,0,1,0,0,0,0,0,0,0,0
-7.368421053,5.263157895,0,1,0,0,0,0,0,0,0,0
-7.368421053,7.368421053,0,1,0,0,0,0,0,0,0,0
-7.368421053,9.473684211,0,1,0,0,0,0,0,0,0,0
-7.368421053,11.57894737,0,1,0,0,0,0,0,0,0,0
-7.368421053,13.68421053,0,1,0,0,0,0,0,0,0,0
-7.368421053,15.78947368,0,1,0,0,0,0,0,0,0,0
-7.368421053,17.89473684,0,1,0,0,0,0,0,0,0,0
-7.368421053,20,0,1,0,0,0,0,0,0,0,0
-5.263157895,-20,0,1,0,0,0,0,0,0,0,0
-5.263157895,-17.89473684,0,1,0,0,0,0,0,0,0,0
-5.263157895,-15.78947368,0,1,0,0,0,0,0,0,0,0
-5.263157895,-13.68421053,0,1,0,0,0,0,0,0,0,0
-5.263157895,-11.57894737,0,1,0,0,0,0,0,0,0,0
-5.263157895,-9.473684211,0,1,0,0,0,0,0,0,0,0
-5.263157895,-7.368421053,0,1,0,0,0,0,0,0,0,0
-5.263157895,-5.263157895,0,1,0,0,0,0,0,0,0,0
-5.263157895,-3.157894737,0,1,0,0,0,0,0,0,0,0
-5.263157895,-1.052631579,0,1,0,0,0,0,0,0,0,0
-5.263157895,1.052631579,0,1,0,0,0,0,0,0,0,0
-5.263157895,3.157894737,0,1,0,0,0,0,0,0,0,0
-5.263157895,5.263157895,0,1,0,0,0,0,0,0,0,0
-5.263157895,7.368421053,0,1,0,0,0,0,0,0,0,0
-5.263157895,9.473684211,0,1,0,0,0,0,0,0,0,0
-5.263157895,11.57894737,0,1,0,0,0,0,0,0,0,0
-5.263157895,13.68421053,0,1,0,0,0,0,0,0,0,0
-5.263157895,15.78947368,0,1,0,0,0,0,0,0,0,0
-5.263157895,17.89473684,0,1,0,0,0,0,0,0,0,0
-5.263157895,20,0,1,0,0,0,0,0,0,0,0
-3.157894737,-20,0,1,0,0,0,0,0,0,0,0
-3.157894737,-17.89473684,0,1,0,0,0,0,0,0,0,0
-3.157894737,-15.78947368,0,1,0,0,0,0,0,0,0,0
-3.157894737,-13.68421053,0,1,0,0,0,0,0,0,0,0
-3.157894737,-11.57894737,0,1,0,0,0,0,0,0,0,0
-3.157894737,-9.473684211,0,1,0,0,0,0,0,0,0,0
-3.157894737,-7.368421053,0,1,0,0,0,0,0,0,0,0
-3.157894737,-5.263157895,0,1,0,0,0,0,0,0,0,0
-3.157894737,-3.157894737,0,1,0,0,0,0,0,0,0,0
-3.157894737,-1.052631579,0,1,0,0,0,0,0,0,0,0
-3.157894737,1.052631579,0,1,0,0,0,0,0,0,0,0
-3.157894737,3.157894737,0,1,0,0,0,0,0,0,0,0
-3.157894737,5.263157895,0,1,0,0,0,0,0,0,0,0
-3.157894737,7.368421053,0,1,0,0,0,0,0,0,0,0
-3.157894737,9.473684211,0,1,0,0,0,0,0,0,0,0
-3.157894737,11.57894737,0,1,0,0,0,0,0,0,0,0
-3.157894737,13.68421053,0,1,0,0,0,0,0,0,0,0
-3.157894737,15.78947368,0,1,0,0,0,0,0,0,0,0
-3.157894737,17.89473684,0,1,0,0,0,0,0,0,0,0
-3.157894737,20,0,1,0,0,0,0,0,0,0,0
-1.052631579,-20,0,1,0,0,0,0,0,0,0,0
-1.052631579,-17.89473684,0,1,0,0,0,0,0,0,0,0
-1.052631579,-15.78947368,0,1,0,0,0,0,0,0,0,0
-1.052631579,-13.68421053,0,1,0,0,0,0,0,0,0,0
-1.052631579,-11.57894737,0,1,0,0,0,0,0,0,0,0
-1.052631579,-9.473684211,0,1,0,0,0,0,0,0,0,0
-1.052631579,-7.368421053,0,1,0,0,0,0,0,0,0,0
-1.052631579,-5.263157895,0,1,0,0,0,0,0,0,0,0
-1.052631579,-3.157894737,0,1,0,0,0,0,0,0,0,0
-1.052631579,-1.052631579,0,1,0,0,0,0,0,0,0,0
-1.052631579,1.052631579,0,1,0,0,0,0,0,0,0,0
-1.052631579,3.157894737,0,1,0,0,0,0,0,0,0,0
-1.052631579,5.263157895,0,1,0,0,0,0,0,0,0,0
-1.052631579,7.368421053,0,1,0,0,0,0,0,0,0,0
-1.052631579,9.473684211,0,1,0,0,0,0,0,0,0,0
-1.052631579,11.57894737,0,1,0,0,0,0,0,0,0,0
-1.052631579,13.68421053,0,1,0,0,0,0,0,0,0,0
-1.052631579,15.78947368,0,1,0,0,0,0,0,0,0,0
-1.052631579,17.89473684,0,1,0,0,0,0,0,0,0,0
-1.052631579,20,0,1,0,0,0,0,0,0,0,0
1.052631579,-20,0,1,0,0,0,0,0,0,0,0
1.052631579,-17.89473684,0,1,0,0,0,0,0,0,0,0
1.052631579,-15.78947368,0,1,0,0,0,0,0,0,0,0
1.052631579,-13.68421053,0,1,0,0,0,0,0,0,0,0
1.052631579,-11.57894737,0,1,0,0,0,0,0,0,0,0
1.052631579,-9.473684211,0,1,0,0,0,0,0,0,0,0
1.052631579,-7.368421053,0,1,0,0,0,0,0,0,0,0
1.052631579,-5.263157895,0,1,0,0,0,0,0,0,0,0
1.052631579,-3.157894737,0,1,0,0,0,0,0,0,0,0
1.052631579,-1.052631579,0,1,0,0,0,0,0,0,0,0
1.052631579,1.052631579,0,1,0,0,0,0,0,0,0,0
1.052631579,3.157894737,0,1,0,0,0,0,0,0,0,0
1.052631579,5.263157895,0,1,0,0,0,0,0,0,0,0
1.052631579,7.368421053,0,1,0,0,0,0,0,0,0,0
1.052631579,9.473684211,0,1,0,0,0,0,0,0,0,0
1.052631579,11.57894737,0,1,0,0,0,0,0,0,0,0
1.052631579,13.68421053,0,1,0,0,0,0,0,0,0,0
1.052631579,15.78947368,0,1,0,0,0,0,0,0,0,0
1.052631579,17.89473684,0,1,0,0,0,0,0,0,0,0
1.052631579,20,0,1,0,0,0,0,0,0,0,0
3.157894737,-20,0,1,0,0,0,0,0,0,0,0
3.157894737,-17.89473684,0,1,0,0,0,0,0,0,0,0
3.157894737,-15.78947368,0,1,0,0,0,0,0,0,0,0
3.157894737,-13.68421053,0,1,0,0,0,0,0,0,0,0
3.157894737,-11.57894737,0,1,0,0,0,0,0,0,0,0
3.157894737,-9.473684211,0,1,0,0,0,0,0,0,0,0
3.157894737,-7.368421053,0,1,0,0,0,0,0,0,0,0
3.157894737,-5.263157895,0,1,0,0,0,0,0,0,0,0
3.157894737,-3.157894737,0,1,0,0,0,0,0,0,0,0
3.157894737,-1.052631579,0,1,0,0,0,0,0,0,0,0
3.157894737,1.052631579,0,1,0,0,0,0,0,0,0,0
3.157894737,3.157894737,0,1,0,0,0,0,0,0,0,0
3.157894737,5.263157895,0,1,0,0,0,0,0,0,0,0
3.157894737,7.368421053,0,1,0,0,0,0,0,0,0,0
3.157894737,9.473684211,0,1,0,0,0,0,0,0,0,0
3.157894737,11.57894737,0,1,0,0,0,0,0,0,0,0
3.157894737,13.68421053,0,1,0,0,0,0,0,0,0,0
3.157894737,15.78947368,0,1,0,0,0,0,0,0,0,0
3.157894737,17.89473684,0,1,0,0,0,0,0,0,0,0
3.157894737,20,0,1,0,0,0,0,0,0,0,0
5.263157895,-20,0,1,0,0,0,0,0,0,0,0
5.263157895,-17.89473684,0,1,0,0,0,0,0,0,0,0
5.263157895,-15.78947368,0,1,0,0,0,0,0,0,0,0
5.263157895,-13.68421053,0,1,0,0,0,0,0,0,0,0
5.263157895,-11.57894737,0,1,0,0,0,0,0,0,0,0
5.263157895,-9.473684211,0,1,0,0,0,0,0,0,0,0
5.263157895,-7.368421053,0,1,0,0,0,0,0,0,0,0
5.263157895,-5.263157895,0,1,0,0,0,0,0,0,0,0
5.263157895,-3.157894737,0,1,0,0,0,0,0,0,0,0
5.263157895,-1.052631579,0,1,0,0,0,0,0,0,0,0
5.263157895,1.052631579,0,1,0,0,0,0,0,0,0,0
5.263157895,3.157894737,0,1,0,0,0,0,0,0,0,0
5.263157895,5.263157895,0,1,0,0,0,0,0,0,0,0
5.263157895,7.368421053,0,1,0,0,0,0,0,0,0,0
5.263157895,9.473684211,0,1,0,0,0,0,0,0,0,0
5.263157895,11.57894737,0,1,0,0,0,0,0,0,0,0
5.263157895,13.68421053,0,1,0,0,0,0,0,0,0,0
5.263157895,15.78947368,0,1,0,0,0,0,0,0,0,0
5.263157895,17.89473684,0,1,0,0,0,0,0,0,0,0
5.263157895,20,0,1,0,0,0,0,0,0,0,0
7.368421053,-20,0,1,0,0,0,0,0,0,0,0
7.368421053,-17.89473684,0,1,0,0,0,0,0,0,0,0
7.368421053,-15.78947368,0,1,0,0,0,0,0,0,0,0
7.368421053,-13.68421053,0,1,0,0,0,0,0,0,0,0
7.368421053,-11.57894737,0,1,0,0,0,0,0,0,0,0
7.368421053,-9.473684211,0,1,0,0,0,0,0,0,0,0
7.368421053,-7.368421053,0,1,0,0,0,0,0,0,0,0
7.368421053,-5.263157895,0,1,0,0,0,0,0,0,0,0
7.368421053,-3.157894737,0,1,0,0,0,0,0,0,0,0
7.368421053,-1.052631579,0,1,0,0,0,0,0,0,0,0
7.368421053,1.052631579,0,1,0,0,0,0,0,0,0,0
7.368421053,3.157894737,0,1,0,0,0,0,0,0,0,0
7.368421053,5.263157895,0,1,0,0,0,0,0,0,0,0
7.368421053,7.368421053,0,1,0,0,0,0,0,0,0,0
7.368421053,9.473684211,0,1,0,0,0,0,0,0,0,0
7.368421053,11.57894737,0,1,0,0,0,0,0,0,0,0
7.368421053,13.68421053,0,1,0,0,0,0,0,0,0,0
7.368421053,15.78947368,0,1,0,0,0,0,0,0,0,0
7.368421053,17.89473684,0,1,0,0,0,0,0,0,0,0
7.368421053,20,0,1,0,0,0,0,0,0,0,0
9.473684211,-20,0,1,0,0,0,0,0,0,0,0
9.473684211,-17.89473684,0,1,0,0,0,0,0,0,0,0
9.473684211,-15.78947368,0,1,0,0,0,0,0,0,0,0
9.473684211,-13.68421053,0,1,0,0,0,0,0,0,0,0
9.473684211,-11.57894737,0,1,0,0,0,0,0,0,0,0
9.473684211,-9.473684211,0,1,0,0,0,0,0,0,0,0
9.473684211,-7.368421053,0,1,0,0,0,0,0,0,0,0
9.473684211,-5.263157895,0,1,0,0,0,0,0,0,0,0
9.473684211,-3.157894737,0,1,0,0,0,0,0,0,0,0
9.473684211,-1.052631579,0,1,0,0,0,0,0,0,0,0
9.473684211,1.052631579,0,1,0,0,0,0,0,0,0,0
9.473684211,3.157894737,0,1,0,0,0,0,0,0,0,0
9.473684211,5.263157895,0,1,0,0,0,0,0,0,0,0
9.473684211,7.368421053,0,1,0,0,0,0,0,0,0,0
9.473684211,9.473684211,0,1,0,0,0,0,0,0,0,0
9.473684211,11.57894737,0,1,0,0,0,0,0,0,0,0
9.473684211,13.68421053,0,1,0,0,0,0,0,0,0,0
9.473684211,15.78947368,0,1,0,0,0,0,0,0,0,0
9.473684211,17.89473684,0,1,0,0,0,0,0,0,0,0
9.473684211,20,0,1,0,0,0,0,0,0,0,0
11.57894737,-20,0,1,0,0,0,0,0,0,0,0
11.57894737,-17.89473684,0,1,0,0,0,0,0,0,0,0
11.57894737,-15.78947368,0,1,0,0,0,0,0,0,0,0
11.57894737,-13.68421053,0,1,0,0,0,0,0,0,0,0
11.57894737,-11.57894737,0,1,0,0,0,0,0,0,0,0
11.57894737,-9.473684211,0,1,0,0,0,0,0,0,0,0
11.57894737,-7.368421053,0,1,0,0,0,0,0,0,0,0
11.57894737,-5.263157895,0,1,0,0,0,0,0,0,0,0
11.57894737,-3.157894737,0,1,0,0,0,0,0,0,0,0
11.57894737,-1.052631579,0,1,0,0,0,0,0,0,0,0
11.57894737,1.052631579,0,1,0,0,0,0,0,0,0,0
11.57894737,3.157894737,0,1,0,0,0,0,0,0,0,0
11.57894737,5.263157895,0,1,0,0,0,0,0,0,0,0
11.57894737,7.368421053,0,1,0,0,0,0,0,0,0,0
11.57894737,9.473684211,0,1,0,0,0,0,0,0,0,0
11.57894737,11.57894737,0,1,0,0,0,0,0,0,0,0
11.57894737,13.68421053,0,1,0,0,0,0,0,0,0,0
11.57894737,15.78947368,0,1,0,0,0,0,0,0,0,0
11.57894737,17.89473684,0,1,0,0,0,0,0,0,0,0
11.57894737,20,0,1,0,0,0,0,0,0,0,0
13.68421053,-20,0,1,0,0,0,0,0,0,0,0
13.68421053,-17.89473684,0,1,0,0,0,0,0,0,0,0
13.68421053,-15.78947368,0,1,0,0,0,0,0,0,0,0
13.68421053,-13.68421053,0,1,0,0,0,0,0,0,0,0
13.68421053,-11.57894737,0,1,0,0,0,0,0,0,0,0
13.68421053,-9.473684211,0,1,0,0,0,0,0,0,0,0
13.68421053,-7.368421053,0,1,0,0,0,0,0,0,0,0
13.68421053,-5.263157895,0,1,0,0,0,0,0,0,0,0
13.68421053,-3.157894737,0,1,0,0,0,0,0,0,0,0
13.68421053,-1.052631579,0,1,0,0,0,0,0,0,0,0
13.68421053,1.052631579,0,1,0,0,0,0,0,0,0,0
13.68421053,3.157894737,0,1,0,0,0,0,0,0,0,0
13.68421053,5.263157895,0,1,0,0,0,0,0,0,0,0
13.68421053,7.368421053,0,1,0,0,0,0,0,0,0,0
13.68421053,9.473684211,0,1,0,0,0,0,0,0,0,0
13.68421053,11.57894737,0,1,0,0,0,0,0,0,0,0
13.68421053,13.68421053,0,1,0,0,0,0,0,0,0,0
13.68421053,15.78947368,0,1,0,0,0,0,0,0,0,0
13.68421053,17.89473684,0,1,0,0,0,0,0,0,0,0
13.68421053,20,0,1,0,0,0,0,0,0,0,0
15.78947368,-20,0,1,0,0,0,0,0,0,0,0
15.78947368,-17.89473684,0,1,0,0,0,0,0,0,0,0
15.78947368,-15.78947368,0,1,0,0,0,0,0,0,0,0
15.78947368,-13.68421053,0,1,0,0,0,0,0,0,0,0
15.78947368,-11.57894737,0,1,0,0,0,0,0,0,0,0
15.78947368,-9.473684211,0,1,0,0,0,0,0,0,0,0
15.78947368,-7.368421053,0,1,0,0,0,0,0,0,0,0
15.78947368,-5.263157895,0,1,0,0,0,0,0,0,0,0
15.78947368,-3.157894737,0,1,0,0,0,0,0,0,0,0
15.78947368,-1.052631579,0,1,0,0,0,0,0,0,0,0
15.78947368,1.052631579,0,1,0,0,0,0,0,0,0,0
15.78947368,3.157894737,0,1,0,0,0,0,0,0,0,0
15.78947368,5.263157895,0,1,0,0,0,0,0,0,0,0
15.78947368,7.368421053,0,1,0,0,0,0,0,0,0,0
15.78947368,9.473684211,0,1,0,0,0,0,0,0,0,0
15.78947368,11.57894737,0,1,0,0,0,0,0,0,0,0
15.78947368,13.68421053,0,1,0,0,0,0,0,0,0,0
15.78947368,15.78947368,0,1,0,0,0,0,0,0,0,0
15.78947368,17.89473684,0,1,0,0,0,0,0,0,0,0
15.78947368,20,0,1,0,0,0,0,0,0,0,0
17.89473684,-20,0,1,0,0,0,0,0,0,0,0
17.89473684,-17.89473684,0,1,0,0,0,0,0,0,0,0
17.89473684,-15.78947368,0,1,0,0,0,0,0,0,0,0
17.89473684,-13.68421053,0,1,0,0,0,0,0,0,0,0
17.89473684,-11.57894737,0,1,0,0,0,0,0,0,0,0
17.89473684,-9.473684211,0,1,0,0,0,0,0,0,0,0
17.89473684,-7.368421053,0,1,0,0,0,0,0,0,0,0
17.89473684,-5.263157895,0,1,0,0,0,0,0,0,0,0
17.89473684,-3.157894737,0,1,0,0,0,0,0,0,0,0
17.89473684,-1.052631579,0,1,0,0,0,0,0,0,0,0
17.89473684,1.052631579,0,1,0,0,0,0,0,0,0,0
17.89473684,3.157894737,0,1,0,0,0,0,0,0,0,0
17.89473684,5.263157895,0,1,0,0,0,0,0,0,0,0
17.89473684,7.368421053,0,1,0,0,0,0,0,0,0,0
17.89473684,9.473684211,0,1,0,0,0,0,0,0,0,0
17.89473684,11.57894737,0,1,0,0,0,0,0,0,0,0
17.89473684,13.68421053,0,1,0,0,0,0,0,0,0,0
17.89473684,15.78947368,0,1,0,0,0,0,0,0,0,0
17.89473684,17.89473684,0,1,0,0,0,0,0,0,0,0
17.89473684,20,0,1,0,0,0,0,0,0,0,0
20,-20,0,1,0,0,0,0,0,0,0,0
20,-17.89473684,0,1,0,0,0,0,0,0,0,0
20,-15.78947368,0,1,0,0,0,0,0,0,0,0
20,-13.68421053,0,1,0,0,0,0,0,0,0,0
20,-11.57894737,0,1,0,0,0,0,0,0,0,0
20,-9.473684211,0,1,0,0,0,0,0,0,0,0
20,-7.368421053,0,1,0,0,0,0,0,0,0,0
20,-5.263157895,0,1,0,0,0,0,0,0,0,0
20,-3.157894737,0,1,0,0,0,0,0,0,0,0
20,-1.052631579,0,1,0,0,0,0,0,0,0,0
20,1.052631579,0,1,0,0,0,0,0,0,0,0
20,3.157894737,0,1,0,0,0,0,0,0,0,0
20,5.263157895,0,1,0,0,0,0,0,0,0,0
20,7.368421053,0,1,0,0,0,0,0,0,0,0
20,9.473684211,0,1,0,0,0,0,0,0,0,0
20,11.57894737,0,1,0,0,0,0,0,0,0,0
20,13.68421053,0,1,0,0,0,0,0,0,0,0
20,15.78947368,0,1,0,0,0,0,0,0,0,0
20,17.89473684,0,1,0,0,0,0,0,0,0,0
20,20,0,1,0,0,0,0,0,0,0,0
